No,S0,S1,S2,S3,DOP_calculated,Azimuth_original [°],PER_original [dB],Intensity_original [%],Timestamp,DOP [%],Azimuth_calculated [°],Ellipticity_angle [°],Ellipticity_ratio,Linear_DOP [%],Circular_DOP [%]
281,0.08,0.004268256792355744,0.03805236658346443,0.052969132344717035,0.8169999999999998,41.8,4.9,8.0,"28.05.2025, 19:37:52",81.69999999999999,41.8,27.068554083278705,0.5110334933812632,47.86374898226492,66.2114154308963
282,0.081,0.004584860131055396,0.038449792137421675,0.05356560237846415,0.816,41.6,4.9,8.1,"28.05.2025, 19:37:53",81.6,41.6,27.068554083953856,0.5110334933961242,47.805164222188715,66.13037330674587
283,0.08,0.00466078718010671,0.03795906542185186,0.05290429864539668,0.8159999999999997,41.5,4.9,8.0,"28.05.2025, 19:37:54",81.59999999999997,41.5,27.068554083204393,0.5110334933796276,47.80516422218872,66.13037330674585
284,0.081,0.00498113484095224,0.03835261382355787,0.05349995825790231,0.8150000000000001,41.3,4.9,8.1,"28.05.2025, 19:37:55",81.5,41.300000000000004,27.068554083880286,0.5110334933945049,47.74657946211252,66.04933118259544
285,0.081,0.005382482014422483,0.038298349556699286,0.05349995825790231,0.8149999999999998,41.0,4.9,8.1,"28.05.2025, 19:37:56",81.49999999999999,41.0,27.068554083880294,0.511033493394505,47.74657946211251,66.04933118259544
286,0.081,0.005776142939387741,0.03819296533938911,0.05343431413734047,0.8140000000000001,40.7,4.9,8.1,"28.05.2025, 19:37:57",81.4,40.70000000000001,27.06855408380654,0.5110334933928816,47.68799470203631,65.96828905844502
287,0.081,0.00603521382420643,0.038104840423971095,0.05336867001677862,0.813,40.5,4.9,8.1,"28.05.2025, 19:37:58",81.3,40.5,27.068554083732614,0.5110334933912544,47.62940994196009,65.88724693429458
288,0.081,0.00636156867704991,0.0376118525121556,0.053679573429480903,0.813,40.2,4.8,8.1,"28.05.2025, 19:37:59",81.3,40.2,27.30072291690359,0.5161544661765824,47.09388686331575,66.27107830800111
289,0.081,0.0066239917827845725,0.03756652417100323,0.053679573429480903,0.813,40.0,4.8,8.1,"28.05.2025, 19:38:00",81.3,40.0,27.30072291690359,0.5161544661765824,47.093886863315745,66.27107830800111
290,0.081,0.006877622066590277,0.037473215610153175,0.053613546893897294,0.812,39.8,4.8,8.1,"28.05.2025, 19:38:01",81.2,39.8,27.3007229168282,0.516154466174916,47.03596080321328,66.18956406653986
